name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"HIJOS FRANCISCO GAYA FORES (FABRICA II)","HIJOS FRANCISCO GAYA FORES,SL(FABRICA II",,,Onda,ES,0.96,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"SANT VICENC DELS HORTS","FEED-BACK 10, S.L.",,,"Sant Vicenc dels Horts",ES,5.39,"Natural gas",,,2000,,,,,"Fossil fuels","Natural gas",,,,SEDE
LUMBIER,"ELECTRA ILUMBERRI, S.L.",,,Lumbier,ES,0.8,Hydro,,,1999,,,,,"Renewable energy",Hydro,,,,SEDE
"GONZALEZ CARRENO II","CERAMICA DEL VILLACE, S.L.",,,Villamanan,ES,5.5,"Natural gas",,,1999,,,,,"Fossil fuels","Natural gas",,,,SEDE
"FERNANDO CORRAL E HIJOS","FERNANDO CORRAL E HIJOS, S.L.",,,"Doninos de Salamanca",ES,0.995,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"CERAMICA SAZA","CERAMICA SAZA, S.A.",,,Corrales,ES,3.33,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"C. H. CORZAN","HIDROELECTRICA DEL ARNOYA, S.L.",,,Negreira,ES,3.6,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"LA AURORA","CENTRAL ELECTRICA LA AURORA, S.A.",,,Astudillo,ES,0.656,Hydro,,,2000,,,,,"Renewable energy",Hydro,,,,SEDE
ALMIBERIA,"ALMIBERIA, S.A.",,,"San Antonio de Benageber",ES,1.464,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"RIO XANCEDA","HIDROELECTRICA DEL OUROL, S.L.",,,Ourol,ES,2.85,Hydro,,,2008,,,,,"Renewable energy",Hydro,,,,SEDE
"LIPIDOS SANTIGA","COGENERACION LIPSA, S.L.",,,"Santa Perpetua de Mogoda",ES,4.958,"Natural gas",,,2000,,,,,"Fossil fuels","Natural gas",,,,SEDE
"PLANTA DE LALCORA","ECOENERGIA INTEGRAL, S.A.",,,"Alcora (l)",ES,2.525,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"PLANTA DE MORELLA","ECOENERGIA INTEGRAL, S.A.",,,Villores,ES,1.68,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"COGENERACION MARINA DOR","HOTELES MARINA DOR, S.L.",,,"Oropesa del Mar/Orpesa",ES,3.114,"Natural gas",,,2004,,,,,"Fossil fuels","Natural gas",,,,SEDE
IBERFRUTA,"IBERFRUTA, S.A.",,,Azagra,ES,4,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"TRATAMIENTO DE PURINES EN ASTORGA","ECOENERGIA INTEGRAL, S.A.",,,Astorga,ES,1.68,"Other or unspecified energy sources",,,,,,,,"Other or unspecified energy sources",,,,,SEDE
"TRATAMIENTO DE PURINES EN VILLANUEVA DE ARGANO","ECOENERGIA INTEGRAL, S.A.",,,"Villanueva de Argano",ES,4.205,"Other or unspecified energy sources",,,,,,,,"Other or unspecified energy sources",,,,,SEDE
