,country,attribute,month,year,data
266,FR,space_SFH,7,2012,2703.0752688172042
267,FR,space_SFH,7,2013,1387.09811827957
268,FR,space_SFH,8,2010,2612.0201612903224
269,FR,space_SFH,8,2011,2680.8172043010754
270,FR,space_SFH,8,2012,1723.271505376344
271,FR,space_SFH,8,2013,2132.646505376344
272,FR,space_SFH,9,2010,7488.722222222223
273,FR,space_SFH,9,2011,4305.823611111111
274,FR,space_SFH,9,2012,7114.408333333334
275,FR,space_SFH,9,2013,5646.883333333333
276,FR,space_SFH,10,2010,19385.744623655915
277,FR,space_SFH,10,2011,16017.337365591398
278,FR,space_SFH,10,2012,16241.518817204302
279,FR,space_SFH,10,2013,11141.245967741936
280,FR,space_SFH,11,2010,33397.39027777778
281,FR,space_SFH,11,2011,27639.74861111111
282,FR,space_SFH,11,2012,33310.69583333333
283,FR,space_SFH,11,2013,36232.854166666664
284,FR,space_SFH,12,2010,57193.38306451613
285,FR,space_SFH,12,2011,39886.56317204301
286,FR,space_SFH,12,2012,43225.228494623654
287,FR,space_SFH,12,2013,43421.040322580644
